M,OpenMp Loop Scheduling Method,Chunk Size,T1,T2,T4,S2,S4
1000000,STATIC,1,4,2,2,2.000,2.000
1000000,STATIC,10,3,2,1,1.500,3.000
1000000,STATIC,100,4,2,1,2.000,4.000
1000000,DYNAMIC,1,4,2,1,2.000,4.000
1000000,DYNAMIC,10,4,2,1,2.000,4.000
1000000,DYNAMIC,100,4,2,2,2.000,2.000
1000000,GUIDED,1,4,2,1,2.000,4.000
1000000,GUIDED,10,4,2,1,2.000,4.000
1000000,GUIDED,100,3,2,2,1.500,1.500
1000000,AUTO,1,3,2,2,1.500,1.500
10000000,STATIC,1,88,47,38,1.872,2.315
10000000,STATIC,10,87,44,40,1.977,2.175
10000000,STATIC,100,89,47,36,1.893,2.472
10000000,DYNAMIC,1,86,45,41,1.911,2.097
10000000,DYNAMIC,10,86,44,37,1.954,2.324
10000000,DYNAMIC,100,84,44,37,1.909,2.270
10000000,GUIDED,1,85,45,37,1.888,2.297
10000000,GUIDED,10,85,44,36,1.931,2.361
10000000,GUIDED,100,85,44,37,1.931,2.297
10000000,AUTO,1,85,44,38,1.931,2.236
50000000,STATIC,1,812,432,347,1.879,2.340
50000000,STATIC,10,815,431,357,1.890,2.282
50000000,STATIC,100,814,432,346,1.884,2.352
50000000,DYNAMIC,1,812,432,351,1.879,2.313
50000000,DYNAMIC,10,811,433,352,1.872,2.303
50000000,DYNAMIC,100,812,431,353,1.883,2.300
50000000,GUIDED,1,812,432,353,1.879,2.300
50000000,GUIDED,10,812,432,351,1.879,2.313
50000000,GUIDED,100,811,432,354,1.877,2.290
50000000,AUTO,1,812,432,350,1.879,2.320
80000000,STATIC,1,1573,839,673,1.874,2.337
80000000,STATIC,10,1574,838,671,1.878,2.345
80000000,STATIC,100,1575,838,670,1.879,2.350
80000000,DYNAMIC,1,1576,839,678,1.878,2.324
80000000,DYNAMIC,10,1577,836,684,1.886,2.305
80000000,DYNAMIC,100,1577,835,685,1.888,2.302
80000000,GUIDED,1,1574,835,684,1.885,2.301
80000000,GUIDED,10,1579,837,697,1.886,2.265
80000000,GUIDED,100,1574,835,681,1.885,2.311
80000000,AUTO,1,1574,836,678,1.882,2.321
